year,season,district_name,mandal_name,crop,normal_area,actual_area
2018-2019,Rabi,Kumuram Bheem,Kagaznagar,Tomoto,23,30
2018-2019,Rabi,Kumuram Bheem,Sirpur-T,Tomoto,23,20
2018-2019,Rabi,Kumuram Bheem,Kouthala,Tomoto,11,2
2018-2019,Rabi,Kumuram Bheem,Chintalamanepalli,Tomoto,0,1
2018-2019,Rabi,Kumuram Bheem,Bejjur,Tomoto,8,0
2018-2019,Rabi,Kumuram Bheem,Penchikalpet,Tomoto,6,0
2018-2019,Rabi,Kumuram Bheem,Dahegoan,Tomoto,6,0
2018-2019,Rabi,Kumuram Bheem,Jainoor,Bendi,0,0
2018-2019,Rabi,Kumuram Bheem,Sirpur-U,Bendi,0,0
2018-2019,Rabi,Kumuram Bheem,Lingapoor,Bendi,0,0
2018-2019,Rabi,Kumuram Bheem,Tiryani,Bendi,1,0
2018-2019,Rabi,Kumuram Bheem,Rebbena,Bendi,14,16
2018-2019,Rabi,Kumuram Bheem,Asifabad,Bendi,0,2
2018-2019,Rabi,Kumuram Bheem,Kerameri,Bendi,2,0
2018-2019,Rabi,Kumuram Bheem,Wankidi,Bendi,2,1
2018-2019,Rabi,Kumuram Bheem,Kagaznagar,Bendi,30,0
2018-2019,Rabi,Kumuram Bheem,Sirpur-T,Bendi,17,0
2018-2019,Rabi,Kumuram Bheem,Kouthala,Bendi,2,0
2018-2019,Rabi,Kumuram Bheem,Chintalamanepalli,Bendi,0,0
2018-2019,Rabi,Kumuram Bheem,Bejjur,Bendi,2,0
2018-2019,Rabi,Kumuram Bheem,Penchikalpet,Bendi,0,0
2018-2019,Rabi,Kumuram Bheem,Dahegoan,Bendi,3,0
